"Consumer","Frequency","Gender","Age","Homesize","Work","Income","Preference","Sweetness","BITTER","Crisp","product","cultivar","region"
"168","1","2","4","3","7","2",4,2,4,2,"Bolero_E","Bolero","Ejstrupholm"
"168","1","2","4","3","7","2",5,5,2,6,"Bolero_L","Bolero","Lammefjord"
"168","1","2","4","3","7","2",4,2,2,3,"Major_E","Major","Ejstrupholm"
"168","1","2","4","3","7","2",7,6,2,6,"Major_L","Major","Lammefjord"
"168","1","2","4","3","7","2",5,4,2,4,"Navar_E","Navar","Ejstrupholm"
"168","1","2","4","3","7","2",6,6,2,5,"Navar_L","Navar","Lammefjord"
"168","1","2","4","3","7","2",5,3,2,5,"Nelson_E","Nelson","Ejstrupholm"
"168","1","2","4","3","7","2",6,6,2,6,"Nelson_L","Nelson","Lammefjord"
"168","1","2","4","3","7","2",5,4,1,5,"Turbo_E","Turbo","Ejstrupholm"
"168","1","2","4","3","7","2",6,4,2,4,"Turbo_L","Turbo","Lammefjord"
"168","1","2","4","3","7","2",4,2,3,3,"Yukon_E","Yukon","Ejstrupholm"
"168","1","2","4","3","7","2",5,5,3,6,"Yukon_L","Yukon","Lammefjord"
"169","1","1","4","3","7","2",6,5,1,5,"Bolero_E","Bolero","Ejstrupholm"
"169","1","1","4","3","7","2",6,6,1,4,"Bolero_L","Bolero","Lammefjord"
"169","1","1","4","3","7","2",5,2,2,3,"Major_E","Major","Ejstrupholm"
"169","1","1","4","3","7","2",5,3,2,2,"Major_L","Major","Lammefjord"
"169","1","1","4","3","7","2",5,5,2,2,"Navar_E","Navar","Ejstrupholm"
"169","1","1","4","3","7","2",5,2,2,4,"Navar_L","Navar","Lammefjord"
"169","1","1","4","3","7","2",5,2,2,3,"Nelson_E","Nelson","Ejstrupholm"
"169","1","1","4","3","7","2",4,2,5,2,"Nelson_L","Nelson","Lammefjord"
"169","1","1","4","3","7","2",6,4,1,2,"Turbo_E","Turbo","Ejstrupholm"
"169","1","1","4","3","7","2",3,2,3,2,"Turbo_L","Turbo","Lammefjord"
"169","1","1","4","3","7","2",6,5,1,3,"Yukon_E","Yukon","Ejstrupholm"
"169","1","1","4","3","7","2",5,3,2,3,"Yukon_L","Yukon","Lammefjord"
"171","1","1","2","3","2","3",4,3,3,6,"Bolero_E","Bolero","Ejstrupholm"
"171","1","1","2","3","2","3",5,2,1,3,"Bolero_L","Bolero","Lammefjord"
"171","1","1","2","3","2","3",4,2,3,2,"Major_E","Major","Ejstrupholm"
